keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
amber rings for women,amber_core,480,HIGH,100,0.23,1.03,amber_general
butterscotch amber pendant,amber_core,480,HIGH,82,0.05,0.43,amber_general
natural amber earrings,amber_core,480,HIGH,100,0.24,0.9,amber_general
natural amber ring,amber_core,480,HIGH,90,0.3,1.06,amber_general
white amber necklace,amber_core,480,MEDIUM,53,0.0,0.0,amber_general
vertical bar necklace,amber_core,390,HIGH,100,0.59,1.98,amber_general
teething bracelet,amber_core,390,HIGH,100,0.26,1.06,amber_general
real amber jewelry,amber_core,390,HIGH,100,0.21,1.17,amber_general
large amber pendant,amber_core,390,HIGH,100,0.23,1.2,amber_general
amber and silver bracelet,amber_core,390,HIGH,100,0.29,0.84,amber_general
silver amber bracelet,amber_core,390,HIGH,100,0.29,0.84,amber_general
large amber ring,amber_core,390,HIGH,82,0.14,0.72,amber_general
amber clip on earrings,amber_core,390,LOW,33,0.0,0.0,amber_general
vintage amber earrings,amber_core,390,HIGH,81,0.12,0.69,amber_general
gold ring with amber stone,amber_core,390,HIGH,80,0.64,20.66,amber_general
amber and sterling silver bracelet,amber_core,390,HIGH,97,0.2,0.55,amber_general
amber bracelet sterling silver,amber_core,390,HIGH,97,0.2,0.55,amber_general
amber sterling silver bracelet,amber_core,390,HIGH,97,0.2,0.55,amber_general
amber's designs fine jewelry,amber_core,390,HIGH,79,1.22,3.69,amber_general
art deco amber earrings,amber_core,390,MEDIUM,41,0.0,0.0,amber_general
big amber pendant,amber_core,390,HIGH,100,0.23,1.2,amber_general
carved amber pendant,amber_core,390,LOW,29,0.0,0.0,amber_general
huge amber pendant,amber_core,390,HIGH,100,0.23,1.2,amber_general
huge amber ring,amber_core,390,HIGH,82,0.14,0.72,amber_general
midwest amber earrings,amber_core,390,MEDIUM,43,0.15,3.2,amber_general
square amber ring,amber_core,390,LOW,22,0.0,0.0,amber_general
wire wrapped amber pendant,amber_core,390,LOW,25,0.0,0.0,amber_general
baltic amber beads,amber_core,390,HIGH,100,0.29,1.09,amber_types
natural amber beads,amber_core,390,HIGH,100,0.29,1.09,amber_types
butterscotch amber,amber_core,390,HIGH,99,0.1,0.55,amber_colors
amber blue,amber_core,390,LOW,3,0.0,0.0,amber_colors
raw butterscotch amber,amber_core,390,LOW,25,0.0,0.0,amber_colors
large amber pendants,amber_core,390,HIGH,100,0.23,1.2,silver_amber
amber pendant necklace,amber_core,320,HIGH,100,0.3,1.18,amber_general
amber stud earrings,amber_core,320,HIGH,100,0.33,1.05,amber_general
amber ring silver,amber_core,320,HIGH,100,0.17,1.06,amber_general
blue topaz tennis necklace,amber_core,320,HIGH,100,0.6,2.38,amber_general
amber wedding ring,amber_core,320,HIGH,99,0.49,2.89,amber_general
green amber jewelry,amber_core,320,HIGH,100,0.28,1.33,amber_general
amber silver necklace,amber_core,320,HIGH,100,0.3,1.05,amber_general
amber earrings gold,amber_core,320,HIGH,100,0.42,1.5,amber_general
amber and gold earrings,amber_core,320,HIGH,100,0.42,1.5,amber_general
amber and silver necklace,amber_core,320,HIGH,100,0.3,1.05,amber_general
women's amber necklace,amber_core,320,HIGH,100,0.28,1.17,amber_general
amber gold earrings,amber_core,320,HIGH,100,0.42,1.5,amber_general
antique amber necklace,amber_core,320,HIGH,100,0.08,0.44,amber_general
amber wedding band,amber_core,320,HIGH,99,0.49,2.89,amber_general
amber and silver ring,amber_core,320,HIGH,100,0.17,1.06,amber_general
amber cross pendant,amber_core,320,HIGH,68,0.37,1.26,amber_general
amber necklace women's,amber_core,320,HIGH,100,0.28,1.17,amber_general
sterling silver amber earrings,amber_core,320,HIGH,97,0.22,0.96,amber_general
antique amber beads,amber_core,320,HIGH,100,0.08,0.44,amber_general
amber and sterling silver earrings,amber_core,320,HIGH,97,0.22,0.96,amber_general
amber chip necklace,amber_core,320,HIGH,97,0.27,0.63,amber_general
amber flower ring,amber_core,320,MEDIUM,59,0.0,0.0,amber_general
amber nature,amber_core,320,HIGH,99,0.49,3.89,amber_general
antique amber ring,amber_core,320,HIGH,70,0.0,0.0,amber_general
butterscotch baltic amber,amber_core,320,HIGH,81,0.0,0.0,amber_general
dominican blue amber jewelry,amber_core,320,HIGH,75,0.28,0.7,amber_general
ladies amber necklace,amber_core,320,HIGH,100,0.28,1.17,amber_general
raw amber jewelry,amber_core,320,HIGH,88,0.0,0.0,amber_general
silver ring with amber,amber_core,320,HIGH,100,0.17,1.06,amber_general
stud amber earrings,amber_core,320,HIGH,100,0.33,1.05,amber_general
amber teething,amber_core,320,HIGH,100,0.29,1.39,amber_types
amber bangle,amber_core,320,HIGH,100,0.31,0.39,amber_types
