keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
14k gold amethyst ring,expansion,480,HIGH,100,0.41,1.72,gemstone
aventurine ring,expansion,480,HIGH,100,0.34,1.18,gemstone
aquamarine and pearl ring,expansion,480,HIGH,100,0.52,2.81,gemstone
amethyst solitaire ring,expansion,480,HIGH,100,0.63,3.12,gemstone
white opal pendant,expansion,480,HIGH,100,0.57,2.08,gemstone
druzy jewelry,expansion,480,HIGH,97,0.33,1.07,gemstone
garnet and peridot ring,expansion,480,HIGH,100,0.48,2.8,gemstone
garnet and pearl ring,expansion,480,HIGH,100,0.41,1.75,gemstone
ruby and peridot ring,expansion,480,HIGH,100,0.58,3.19,gemstone
large garnet ring,expansion,480,HIGH,100,0.34,2.81,gemstone
tiger eye bead bracelet,expansion,480,HIGH,100,0.45,1.69,gemstone
malachite bead necklace,expansion,480,HIGH,100,0.3,1.38,gemstone
opal bead bracelet,expansion,480,HIGH,100,0.43,1.46,gemstone
garnet and citrine ring,expansion,480,HIGH,100,0.5,2.11,gemstone
14k gold aquamarine ring,expansion,480,HIGH,100,0.49,2.19,gemstone
bloodstone ring mens,expansion,480,HIGH,100,0.31,1.39,gemstone
large amethyst pendant,expansion,480,HIGH,100,0.26,3.57,gemstone
boulder opal necklace,expansion,480,HIGH,100,0.39,1.76,gemstone
black onyx silver ring,expansion,480,HIGH,100,0.4,1.34,gemstone
women sapphire necklace,expansion,480,HIGH,100,1.12,6.16,gemstone
ruby stone jewellery,expansion,480,HIGH,100,0.55,3.12,gemstone
heart opal ring,expansion,480,HIGH,100,0.47,2.07,gemstone
taaffeite ring,expansion,480,HIGH,100,0.53,1.98,gemstone
yellow jade bracelet,expansion,480,HIGH,100,0.48,3.71,gemstone
amethyst and citrine ring,expansion,480,HIGH,100,0.62,2.34,gemstone
mens tourmaline ring,expansion,480,HIGH,100,0.35,1.43,gemstone
carnelian stone ring,expansion,480,HIGH,100,0.31,1.21,gemstone
chrysoberyl ring,expansion,480,HIGH,100,0.37,3.22,gemstone
carnelian bead necklace,expansion,480,HIGH,100,0.36,1.21,gemstone
sterling silver topaz ring,expansion,480,HIGH,77,0.37,1.36,gemstone
charoite ring,expansion,480,HIGH,100,0.36,0.73,gemstone
amethyst cabochon ring,expansion,480,HIGH,100,0.19,1.3,gemstone
gold tiger eye ring,expansion,480,HIGH,100,0.39,1.77,gemstone
black moonstone bracelet,expansion,480,HIGH,100,0.34,1.09,gemstone
big opal ring,expansion,480,HIGH,100,0.33,2.01,gemstone
cabochon aquamarine ring,expansion,480,HIGH,100,0.53,4.79,gemstone
alexandrite earrings natural,expansion,480,HIGH,100,0.71,2.6,gemstone
pearl earrings natural,expansion,480,HIGH,100,0.74,2.66,gemstone
nephrite jade ring,expansion,480,HIGH,99,0.37,1.26,gemstone
bracelet natural stones,expansion,480,HIGH,100,0.42,1.37,gemstone
kidney stones jewelry,expansion,480,LOW,9,0.0,0.0,gemstone
natural stone rings jewelry,expansion,480,HIGH,100,0.45,1.57,gemstone
double birthstone necklace,expansion,480,HIGH,100,1.12,4.52,birthstone
4 birthstone necklace,expansion,480,HIGH,100,1.14,6.23,birthstone
swarovski birthstone necklace,expansion,480,HIGH,100,0.2,2.14,birthstone
birthstone bar necklace,expansion,480,HIGH,100,0.91,3.29,birthstone
march birthstone bracelet,expansion,480,HIGH,100,0.82,2.93,birthstone
birthstone stud earrings,expansion,480,HIGH,100,0.49,2.44,birthstone
yellow topaz earrings,expansion,480,HIGH,100,0.52,2.05,birthstone
june birthstone bracelet,expansion,480,HIGH,100,0.77,3.0,birthstone
silver birthstone bracelet,expansion,480,HIGH,100,0.98,3.97,birthstone
birthstone necklace for mom 2 stones,expansion,480,HIGH,100,1.0,6.1,birthstone
david yurman birthstone ring,expansion,480,HIGH,100,0.63,2.19,birthstone
birthstone tennis bracelet,expansion,480,HIGH,100,1.31,5.73,birthstone
personalized birthstone bracelet for mom,expansion,480,HIGH,97,0.79,2.21,birthstone
4 stone birthstone necklace,expansion,480,HIGH,100,1.14,6.23,birthstone
birthstone bracelet silver,expansion,480,HIGH,100,0.98,3.97,birthstone
mothers birthstone pendant,expansion,480,HIGH,92,1.0,5.91,birthstone
james avery birthstone necklace,expansion,480,HIGH,100,0.06,1.45,birthstone
four birthstone necklace,expansion,480,HIGH,100,1.14,6.23,birthstone
dainty birthstone bracelet,expansion,480,HIGH,100,0.84,2.8,birthstone
birth ring,expansion,480,HIGH,100,0.51,2.3,birthstone
birthstone necklace grandchildren,expansion,480,HIGH,100,0.99,3.49,birthstone
birthstone grandchildren necklace,expansion,480,HIGH,100,0.99,3.49,birthstone
blue topaz necklace sterling silver,expansion,480,HIGH,99,0.44,1.68,birthstone
birthstone jewelry for new moms,expansion,480,HIGH,100,0.8,4.86,birthstone
blue topaz earrings sterling silver,expansion,480,HIGH,100,0.27,1.18,birthstone
gold necklace with blue topaz,expansion,480,HIGH,100,0.86,4.13,birthstone
blue topaz and gold necklace,expansion,480,HIGH,100,0.86,4.13,birthstone
tanzanite birthstone jewelry,expansion,480,MEDIUM,61,1.08,3.47,birthstone
birthstone necklace james avery,expansion,480,HIGH,100,0.06,1.45,birthstone
swarovski birthstone jewellery,expansion,480,HIGH,100,0.2,2.14,birthstone
swarovski birthstone jewelry,expansion,480,HIGH,100,0.2,2.14,birthstone
junes jewellery,expansion,480,HIGH,100,1.09,3.83,birthstone
sterling silver and blue topaz necklace,expansion,480,HIGH,99,0.44,1.68,birthstone
david yurman citrine necklace,expansion,480,HIGH,100,0.35,3.42,warm_stones
levian citrine ring,expansion,480,HIGH,100,0.32,2.54,warm_stones
women citrine jewelry,expansion,480,HIGH,100,0.54,2.96,warm_stones
citrine gold jewelry,expansion,480,MEDIUM,48,0.5,2.12,warm_stones
citrine garnet ring,expansion,480,HIGH,100,0.5,2.11,warm_stones
women's citrine jewelry,expansion,480,HIGH,100,0.54,2.96,warm_stones
gold tiger eye bracelet,expansion,480,HIGH,100,0.29,1.12,warm_stones
vintage citrine necklace,expansion,480,HIGH,96,0.23,1.25,warm_stones
garnet citrine ring,expansion,480,HIGH,100,0.5,2.11,warm_stones
amethyst and citrine jewelry,expansion,480,HIGH,99,0.64,2.76,warm_stones
vintage citrine bracelet,expansion,480,HIGH,75,0.0,0.0,warm_stones
ring citrine stone,expansion,480,HIGH,100,0.38,1.72,warm_stones
david yurman necklace citrine,expansion,480,HIGH,100,0.35,3.42,warm_stones
sterling silver tiger ring,expansion,480,HIGH,100,0.0,0.0,warm_stones
vintage tiger eye necklace,expansion,480,HIGH,90,0.1,1.75,warm_stones
carnelian gemstone ring,expansion,480,HIGH,100,0.31,1.21,warm_stones
citrine and amethyst jewelry,expansion,480,HIGH,99,0.64,2.76,warm_stones
amethyst citrine ring,expansion,480,HIGH,100,0.62,2.34,warm_stones
antique carnelian earrings,expansion,480,MEDIUM,38,0.13,0.66,warm_stones
antique carnelian necklace,expansion,480,HIGH,92,0.09,0.55,warm_stones
carnelian cameo pendant,expansion,480,HIGH,71,0.0,0.0,warm_stones
citrine amethyst ring,expansion,480,HIGH,100,0.62,2.34,warm_stones
citrine jewelry for women,expansion,480,HIGH,100,0.54,2.96,warm_stones
crystal citrine necklace,expansion,480,HIGH,100,0.36,1.27,warm_stones
crystal necklace citrine,expansion,480,HIGH,100,0.36,1.27,warm_stones
gold citrine jewelry,expansion,480,MEDIUM,48,0.5,2.12,warm_stones
vintage carnelian earrings,expansion,480,MEDIUM,38,0.13,0.66,warm_stones
vintage carnelian necklace,expansion,480,HIGH,92,0.09,0.55,warm_stones
vertical bar necklace,amber_core,390,HIGH,100,0.59,1.98,amber_general
real amber jewelry,amber_core,390,HIGH,100,0.21,1.17,amber_general
large amber pendant,amber_core,390,HIGH,100,0.23,1.2,amber_general
amber and silver bracelet,amber_core,390,HIGH,100,0.29,0.84,amber_general
silver amber bracelet,amber_core,390,HIGH,100,0.29,0.84,amber_general
large amber ring,amber_core,390,HIGH,82,0.14,0.72,amber_general
amber clip on earrings,amber_core,390,LOW,33,0.0,0.0,amber_general
vintage amber earrings,amber_core,390,HIGH,81,0.12,0.69,amber_general
gold ring with amber stone,amber_core,390,HIGH,80,0.64,20.66,amber_general
amber and sterling silver bracelet,amber_core,390,HIGH,97,0.2,0.55,amber_general
amber bracelet sterling silver,amber_core,390,HIGH,97,0.2,0.55,amber_general
amber sterling silver bracelet,amber_core,390,HIGH,97,0.2,0.55,amber_general
amber's designs fine jewelry,amber_core,390,HIGH,79,1.22,3.69,amber_general
art deco amber earrings,amber_core,390,MEDIUM,41,0.0,0.0,amber_general
big amber pendant,amber_core,390,HIGH,100,0.23,1.2,amber_general
carved amber pendant,amber_core,390,LOW,29,0.0,0.0,amber_general
huge amber pendant,amber_core,390,HIGH,100,0.23,1.2,amber_general
huge amber ring,amber_core,390,HIGH,82,0.14,0.72,amber_general
midwest amber earrings,amber_core,390,MEDIUM,43,0.15,3.2,amber_general
square amber ring,amber_core,390,LOW,22,0.0,0.0,amber_general
wire wrapped amber pendant,amber_core,390,LOW,25,0.0,0.0,amber_general
baltic amber beads,amber_core,390,HIGH,100,0.29,1.09,amber_types
natural amber beads,amber_core,390,HIGH,100,0.29,1.09,amber_types
butterscotch amber,amber_core,390,HIGH,99,0.1,0.55,amber_colors
amber blue,amber_core,390,LOW,3,0.0,0.0,amber_colors
raw butterscotch amber,amber_core,390,LOW,25,0.0,0.0,amber_colors
large amber pendants,amber_core,390,HIGH,100,0.23,1.2,silver_amber
natural emerald necklace,expansion,390,HIGH,100,1.04,5.09,gemstone
natural ruby necklace,expansion,390,HIGH,100,0.81,4.6,gemstone
yellow sapphire necklace,expansion,390,HIGH,100,0.83,2.43,gemstone
amethyst heart necklace,expansion,390,HIGH,100,0.47,1.9,gemstone
family birthstone jewelry,expansion,390,HIGH,100,1.03,4.78,gemstone
mother daughter birthstone necklace,expansion,390,HIGH,99,0.87,3.72,gemstone
citrine ring yellow gold,expansion,390,HIGH,100,0.66,3.29,gemstone
aquamarine promise ring,expansion,390,HIGH,100,0.93,3.0,gemstone
garnet heart necklace,expansion,390,HIGH,100,0.59,2.74,gemstone
emerald necklace and earring set,expansion,390,HIGH,100,0.91,4.61,gemstone
rose gold opal engagement ring,expansion,390,HIGH,100,0.91,3.25,gemstone
topaz pendant,expansion,390,HIGH,100,0.59,2.93,gemstone
peridot necklace silver,expansion,390,HIGH,100,0.51,2.37,gemstone
healing jewelry,expansion,390,HIGH,100,0.47,1.87,gemstone
pink stone earrings,expansion,390,HIGH,100,0.4,1.84,gemstone
amethyst drop earrings,expansion,390,HIGH,100,0.49,2.44,gemstone
amethyst and diamond necklace,expansion,390,HIGH,100,1.02,5.77,gemstone
opal stone necklace,expansion,390,HIGH,100,0.59,2.57,gemstone
garnet and diamond necklace,expansion,390,HIGH,100,1.13,5.0,gemstone
lab sapphire ring,expansion,390,HIGH,100,0.92,3.45,gemstone
garnet stone necklace,expansion,390,HIGH,100,0.72,3.32,gemstone
blue topaz tennis bracelet,expansion,390,HIGH,100,0.97,3.57,gemstone
peridot pendant necklace,expansion,390,HIGH,100,0.72,3.42,gemstone
sapphire halo engagement ring,expansion,390,HIGH,100,1.29,4.8,gemstone
men's aquamarine ring,expansion,390,HIGH,100,0.55,1.85,gemstone
real moonstone necklace,expansion,390,HIGH,100,0.38,1.43,gemstone
amethyst diamond necklace,expansion,390,HIGH,100,1.02,5.77,gemstone
lavender sapphire engagement ring,expansion,390,HIGH,100,1.02,3.42,gemstone
garnet promise ring,expansion,390,HIGH,100,0.86,2.73,gemstone
green stone bracelet,expansion,390,HIGH,100,0.58,1.96,gemstone
cushion cut sapphire ring,expansion,390,HIGH,100,0.82,2.96,gemstone
green sapphire necklace,expansion,390,HIGH,100,0.73,2.9,gemstone
created sapphire ring,expansion,390,HIGH,100,0.76,2.53,gemstone
natural opal jewelry,expansion,390,HIGH,100,0.43,2.13,gemstone
princess cut sapphire ring,expansion,390,HIGH,100,0.91,4.73,gemstone
blue sapphire necklace gold,expansion,390,HIGH,100,0.82,4.81,gemstone
peridot stackable ring,expansion,390,HIGH,100,0.81,2.75,gemstone
garnet ring white gold,expansion,390,HIGH,100,0.73,4.15,gemstone
ruby stone necklace,expansion,390,HIGH,100,1.0,4.99,gemstone
sapphire stone ring,expansion,390,HIGH,100,0.66,2.83,gemstone
princess cut emerald ring,expansion,390,HIGH,100,1.07,3.09,gemstone
green onyx ring,expansion,390,HIGH,100,0.38,1.47,gemstone
emerald green ring gold,expansion,390,HIGH,100,0.87,3.75,gemstone
natural ruby jewelry,expansion,390,HIGH,100,0.82,3.92,gemstone
aventurine necklace,expansion,390,HIGH,100,0.35,1.14,gemstone
black rutilated quartz engagement ring,expansion,390,HIGH,100,0.79,3.74,gemstone
gemstone tennis bracelet,expansion,390,HIGH,100,1.1,3.85,gemstone
garnet heart ring,expansion,390,HIGH,100,0.48,2.75,gemstone
amethyst stone necklace,expansion,390,HIGH,100,0.49,2.6,gemstone
jade stone necklace,expansion,390,HIGH,100,0.45,1.52,gemstone
topaz ring gold,expansion,390,HIGH,100,0.49,2.22,gemstone
garnet pendant gold,expansion,390,HIGH,100,0.52,1.91,gemstone
lapis lazuli engagement ring,expansion,390,HIGH,100,0.7,3.26,gemstone
cornflower blue sapphire ring,expansion,390,HIGH,100,0.61,2.71,gemstone
tourmaline pendant,expansion,390,HIGH,100,0.47,2.67,gemstone
4 carat emerald ring,expansion,390,HIGH,100,0.93,3.02,gemstone
pink sapphire rose gold ring,expansion,390,HIGH,100,0.75,2.16,gemstone
kashmir sapphire ring,expansion,390,HIGH,100,0.47,2.46,gemstone
moonstone pendant necklace,expansion,390,HIGH,100,0.55,1.97,gemstone
chakra bracelet stones,expansion,390,HIGH,100,0.25,1.11,gemstone
levian garnet ring,expansion,390,HIGH,100,0.31,1.61,gemstone
blue opal bracelet,expansion,390,HIGH,100,0.45,1.86,gemstone
black stone bracelet,expansion,390,HIGH,100,0.39,2.05,gemstone
mens black onyx necklace,expansion,390,HIGH,100,0.4,1.56,gemstone
emerald cut garnet ring,expansion,390,HIGH,100,0.89,3.62,gemstone
blue gemstone necklace,expansion,390,HIGH,100,0.48,3.0,gemstone
moissanite and sapphire ring,expansion,390,HIGH,100,0.54,1.89,gemstone
lapis pendant,expansion,390,HIGH,100,0.38,1.3,gemstone
turquoise stone bracelet,expansion,390,HIGH,99,0.45,1.12,gemstone
ruby gemstone necklace,expansion,390,HIGH,100,1.0,4.99,gemstone
emerald cut amethyst ring,expansion,390,HIGH,100,0.49,2.82,gemstone
14k gold sapphire ring,expansion,390,HIGH,100,0.58,2.22,gemstone
natural pink sapphire ring,expansion,390,HIGH,100,0.66,1.84,gemstone
amethyst pendant gold,expansion,390,HIGH,100,0.46,2.99,gemstone
protection crystal necklace,expansion,390,HIGH,100,0.43,0.98,gemstone
green opal ring,expansion,390,HIGH,100,0.5,1.98,gemstone
white stone ring,expansion,390,HIGH,100,0.39,1.35,gemstone
blue tourmaline ring,expansion,390,HIGH,100,0.41,1.79,gemstone
garnet and gold ring,expansion,390,HIGH,100,0.56,3.02,gemstone
green moss agate ring,expansion,390,HIGH,100,1.0,2.7,gemstone
jade stone bracelet,expansion,390,HIGH,100,0.49,1.38,gemstone
natural sapphire jewelry,expansion,390,HIGH,100,0.74,3.65,gemstone
green gemstone earrings,expansion,390,HIGH,100,0.57,1.93,gemstone
tanzanite solitaire ring,expansion,390,HIGH,99,0.81,3.29,gemstone
silver ring with blue stone,expansion,390,HIGH,100,0.3,1.74,gemstone
blue apatite bracelet,expansion,390,HIGH,100,0.27,1.25,gemstone
mens garnet bracelet,expansion,390,HIGH,100,0.65,2.35,gemstone
large opal pendant,expansion,390,HIGH,100,0.4,1.81,gemstone
heart stone necklace,expansion,390,HIGH,100,0.51,1.61,gemstone
rhodonite necklace,expansion,390,HIGH,100,0.3,1.0,gemstone
14k gold garnet ring,expansion,390,HIGH,100,0.41,2.05,gemstone
marquise cut emerald ring,expansion,390,HIGH,100,0.96,3.74,gemstone
amethyst silver bracelet,expansion,390,HIGH,100,0.49,1.69,gemstone
tanzanite bracelet gold,expansion,390,HIGH,100,0.56,2.98,gemstone
blue topaz silver ring,expansion,390,HIGH,100,0.42,2.14,gemstone
yellow gold amethyst ring,expansion,390,HIGH,100,0.52,3.83,gemstone
large citrine ring,expansion,390,HIGH,100,0.35,1.46,gemstone
moissanite sapphire ring,expansion,390,HIGH,100,0.54,1.89,gemstone
sapphire and diamond ring white gold,expansion,390,HIGH,100,0.59,2.76,gemstone
sapphire ring with diamond halo,expansion,390,HIGH,100,1.18,4.77,gemstone
green emerald ring gold,expansion,390,HIGH,100,0.87,3.75,gemstone
purple stone jewelry,expansion,390,HIGH,100,0.36,1.34,gemstone
mens garnet necklace,expansion,390,HIGH,100,0.54,1.78,gemstone
precious stone bracelet,expansion,390,HIGH,100,0.45,1.78,gemstone
labradorite wedding ring,expansion,390,HIGH,100,0.61,1.57,gemstone
gold opal engagement ring,expansion,390,HIGH,100,0.86,3.23,gemstone
sapphire and topaz ring,expansion,390,HIGH,100,0.65,2.75,gemstone
red gemstone necklace,expansion,390,HIGH,100,0.51,2.01,gemstone
garnet and aquamarine ring,expansion,390,HIGH,100,0.75,3.09,gemstone
natural stone beads for jewelry making,expansion,390,HIGH,100,0.4,1.76,gemstone
garnet dangle earrings,expansion,390,HIGH,98,0.44,2.28,gemstone
signet ring with stone,expansion,390,HIGH,100,0.45,2.24,gemstone
citrine silver ring,expansion,390,HIGH,100,0.4,1.32,gemstone
larimar stone ring,expansion,390,HIGH,100,0.32,1.07,gemstone
cabochon emerald ring,expansion,390,HIGH,100,0.49,2.04,gemstone
opal jewellery near me,expansion,390,HIGH,100,0.72,4.05,gemstone
women moss agate ring,expansion,390,HIGH,100,0.86,2.67,gemstone
sapphire gemstone ring,expansion,390,HIGH,100,1.07,4.05,gemstone
pearl and amethyst ring,expansion,390,HIGH,100,0.49,1.78,gemstone
topaz and citrine ring,expansion,390,HIGH,100,0.52,2.21,gemstone
handmade gemstone jewelry,expansion,390,HIGH,100,0.51,1.65,gemstone
white stone jewelry,expansion,390,HIGH,99,0.67,4.41,gemstone
tigers eye crystal bracelet,expansion,390,HIGH,100,0.43,1.86,gemstone
gemstone cluster ring,expansion,390,HIGH,100,0.59,2.6,gemstone
natural star sapphire ring,expansion,390,HIGH,100,0.31,1.63,gemstone
mexican fire opal necklace,expansion,390,HIGH,100,0.26,1.22,gemstone
blue goldstone ring,expansion,390,HIGH,100,0.39,1.75,gemstone
natural gemstone beads for jewelry making,expansion,390,HIGH,100,0.4,1.76,gemstone
colorful stone necklace,expansion,390,HIGH,100,0.37,1.76,gemstone
fire agate ring,expansion,390,HIGH,99,0.28,1.11,gemstone
blue chalcedony ring,expansion,390,HIGH,98,0.17,0.87,gemstone
green malachite ring,expansion,390,HIGH,87,0.38,1.71,gemstone
antique blue sapphire ring,expansion,390,HIGH,100,0.38,1.25,gemstone
turquoise and opal ring,expansion,390,HIGH,100,0.42,2.01,gemstone
men amethyst ring,expansion,390,HIGH,100,0.38,1.41,gemstone
multicolor stone earrings,expansion,390,HIGH,90,0.45,1.45,gemstone
turquoise opal ring,expansion,390,HIGH,100,0.42,2.01,gemstone
raw ruby jewelry,expansion,390,HIGH,100,0.4,1.78,gemstone
purple star sapphire ring,expansion,390,HIGH,100,0.2,1.14,gemstone
diamond gemstone ring,expansion,390,HIGH,100,1.17,4.82,gemstone
emerald necklace natural,expansion,390,HIGH,100,1.04,5.09,gemstone
natural zircon jewelry,expansion,390,HIGH,100,0.35,1.6,gemstone
ruby necklace natural,expansion,390,HIGH,100,0.81,4.6,gemstone
ring white stone,expansion,390,HIGH,100,0.39,1.35,gemstone
stones in chakra bracelet,expansion,390,HIGH,100,0.25,1.11,gemstone
mothers ring 1 stone,expansion,390,HIGH,100,0.35,2.41,birthstone
birthstone earrings for mom,expansion,390,HIGH,100,0.77,4.4,birthstone
september birthstone earrings,expansion,390,HIGH,100,0.54,1.86,birthstone
january birthstone earrings,expansion,390,HIGH,100,0.43,2.13,birthstone
february birthstone earrings,expansion,390,HIGH,100,0.47,1.67,birthstone
september birthstone bracelet,expansion,390,HIGH,100,0.89,2.89,birthstone
london blue topaz bracelet,expansion,390,HIGH,100,0.69,3.06,birthstone
initial and birthstone bracelet,expansion,390,HIGH,100,0.95,3.53,birthstone
december birthstone engagement ring,expansion,390,HIGH,100,0.91,3.15,birthstone
white gold birthstone necklace,expansion,390,HIGH,100,1.26,6.41,birthstone
2 stone birthstone necklace,expansion,390,HIGH,100,1.1,3.89,birthstone
mother's day jewelry birthstone,expansion,390,HIGH,83,1.53,5.07,birthstone
haverhill birthstone necklace,expansion,390,HIGH,100,2.17,4.51,birthstone
two birthstone jewelry,expansion,390,HIGH,100,1.1,3.89,birthstone
white gold birthstone bracelet,expansion,390,HIGH,100,1.26,6.41,birthstone
birthstone initial bracelet,expansion,390,HIGH,100,0.95,3.53,birthstone
mother daughter birthstone bracelet,expansion,390,HIGH,100,0.65,3.31,birthstone
mother and daughter birthstone necklace,expansion,390,HIGH,99,0.87,3.72,birthstone
december birthstone ring gold,expansion,390,HIGH,100,0.41,1.6,birthstone
birthstone cuff bracelet,expansion,390,HIGH,100,0.71,2.23,birthstone
one stone mothers ring,expansion,390,HIGH,100,0.35,2.41,birthstone
mom and daughter birthstone necklace,expansion,390,HIGH,99,0.87,3.72,birthstone
birthstone bracelet with initial,expansion,390,HIGH,100,0.95,3.53,birthstone
mom daughter birthstone necklace,expansion,390,HIGH,99,0.87,3.72,birthstone
august jewellery,expansion,390,HIGH,99,0.79,6.12,birthstone
feb birthstone earrings,expansion,390,HIGH,100,0.47,1.67,birthstone
birthstone white gold necklace,expansion,390,HIGH,100,1.26,6.41,birthstone
gold ring with december birthstone,expansion,390,HIGH,100,0.41,1.6,birthstone
vintage blue topaz earrings,expansion,390,HIGH,78,0.0,0.0,birthstone
birthstone mother daughter necklace,expansion,390,HIGH,99,0.87,3.72,birthstone
sept birthstone earrings,expansion,390,HIGH,100,0.54,1.86,birthstone
tiger bracelet,expansion,390,HIGH,100,0.43,2.53,warm_stones
carnelian crystal necklace,expansion,390,HIGH,100,0.4,1.15,warm_stones
red tiger eye bracelet,expansion,390,HIGH,100,0.32,1.31,warm_stones
david yurman citrine pendant,expansion,390,HIGH,100,0.22,2.56,warm_stones
tiger jewellery,expansion,390,HIGH,100,0.28,2.16,warm_stones
men's citrine bracelet,expansion,390,HIGH,100,0.48,1.62,warm_stones
citrine crystal earrings,expansion,390,HIGH,82,0.24,1.3,warm_stones
gold ring with citrine stone,expansion,390,HIGH,100,0.58,1.77,warm_stones
tiger eye bracelet women's,expansion,390,HIGH,100,0.39,1.48,warm_stones
blue tigers eye necklace,expansion,390,HIGH,100,0.37,0.87,warm_stones
citrine topaz ring,expansion,390,HIGH,100,0.52,2.21,warm_stones
tigers eye stud earrings,expansion,390,HIGH,100,0.23,1.03,warm_stones
citrine and silver ring,expansion,390,HIGH,100,0.4,1.32,warm_stones
judith ripka citrine ring,expansion,390,HIGH,96,0.1,0.85,warm_stones
tiger eye bracelet for women,expansion,390,HIGH,100,0.39,1.48,warm_stones
citrine cluster ring,expansion,390,HIGH,76,0.0,0.0,warm_stones
antique citrine earrings,expansion,390,MEDIUM,54,0.0,0.0,warm_stones
gold ring citrine stone,expansion,390,HIGH,100,0.58,1.77,warm_stones
carnelian silver ring,expansion,390,HIGH,82,0.27,1.27,warm_stones
bracelet tiger,expansion,390,HIGH,100,0.43,2.53,warm_stones
carnelian ring silver,expansion,390,HIGH,82,0.27,1.27,warm_stones
judith ripka citrine earrings,expansion,390,MEDIUM,60,0.28,0.46,warm_stones
antique carnelian bead necklace,expansion,390,HIGH,73,0.0,0.0,warm_stones
big citrine ring,expansion,390,HIGH,100,0.35,1.46,warm_stones
bracelet with tiger,expansion,390,HIGH,100,0.43,2.53,warm_stones
carnelian chip necklace,expansion,390,HIGH,70,0.0,0.0,warm_stones
carnelian ring sterling silver,expansion,390,HIGH,97,0.21,1.1,warm_stones
crystal carnelian necklace,expansion,390,HIGH,100,0.4,1.15,warm_stones
david yurman petite albion ring citrine,expansion,390,HIGH,88,0.0,0.0,warm_stones
jade and citrine bracelet,expansion,390,HIGH,99,0.0,0.0,warm_stones
lemon citrine jewelry,expansion,390,HIGH,80,0.0,0.0,warm_stones
sterling silver carnelian bracelet,expansion,390,MEDIUM,52,0.0,0.0,warm_stones
sterling silver carnelian ring,expansion,390,HIGH,97,0.21,1.1,warm_stones
tiger eye chip bracelet,expansion,390,MEDIUM,48,0.0,0.0,warm_stones
tiger eye red bracelet,expansion,390,HIGH,100,0.32,1.31,warm_stones
women tigers eye bracelet,expansion,390,HIGH,100,0.39,1.48,warm_stones
amber pendant necklace,amber_core,320,HIGH,100,0.3,1.18,amber_general
amber stud earrings,amber_core,320,HIGH,100,0.33,1.05,amber_general
amber ring silver,amber_core,320,HIGH,100,0.17,1.06,amber_general
blue topaz tennis necklace,amber_core,320,HIGH,100,0.6,2.38,amber_general
amber wedding ring,amber_core,320,HIGH,99,0.49,2.89,amber_general
green amber jewelry,amber_core,320,HIGH,100,0.28,1.33,amber_general
amber silver necklace,amber_core,320,HIGH,100,0.3,1.05,amber_general
amber earrings gold,amber_core,320,HIGH,100,0.42,1.5,amber_general
amber and gold earrings,amber_core,320,HIGH,100,0.42,1.5,amber_general
amber and silver necklace,amber_core,320,HIGH,100,0.3,1.05,amber_general
women's amber necklace,amber_core,320,HIGH,100,0.28,1.17,amber_general
amber gold earrings,amber_core,320,HIGH,100,0.42,1.5,amber_general
antique amber necklace,amber_core,320,HIGH,100,0.08,0.44,amber_general
amber wedding band,amber_core,320,HIGH,99,0.49,2.89,amber_general
amber and silver ring,amber_core,320,HIGH,100,0.17,1.06,amber_general
amber cross pendant,amber_core,320,HIGH,68,0.37,1.26,amber_general
amber necklace women's,amber_core,320,HIGH,100,0.28,1.17,amber_general
sterling silver amber earrings,amber_core,320,HIGH,97,0.22,0.96,amber_general
antique amber beads,amber_core,320,HIGH,100,0.08,0.44,amber_general
amber and sterling silver earrings,amber_core,320,HIGH,97,0.22,0.96,amber_general
amber chip necklace,amber_core,320,HIGH,97,0.27,0.63,amber_general
amber flower ring,amber_core,320,MEDIUM,59,0.0,0.0,amber_general
amber nature,amber_core,320,HIGH,99,0.49,3.89,amber_general
antique amber ring,amber_core,320,HIGH,70,0.0,0.0,amber_general
butterscotch baltic amber,amber_core,320,HIGH,81,0.0,0.0,amber_general
dominican blue amber jewelry,amber_core,320,HIGH,75,0.28,0.7,amber_general
ladies amber necklace,amber_core,320,HIGH,100,0.28,1.17,amber_general
raw amber jewelry,amber_core,320,HIGH,88,0.0,0.0,amber_general
silver ring with amber,amber_core,320,HIGH,100,0.17,1.06,amber_general
stud amber earrings,amber_core,320,HIGH,100,0.33,1.05,amber_general
amber bangle,amber_core,320,HIGH,100,0.31,0.39,amber_types
green amber jewellery,amber_core,320,HIGH,100,0.28,1.33,amber_types
bangle amber,amber_core,320,HIGH,100,0.31,0.39,amber_types
white amber beads,amber_core,320,LOW,22,0.0,0.0,amber_types
honey amber,amber_core,320,LOW,4,0.0,0.0,amber_colors
baltic butterscotch amber,amber_core,320,HIGH,81,0.0,0.0,amber_colors
sapphire bracelet white gold,expansion,320,HIGH,100,0.87,2.93,gemstone
sapphire and diamond eternity ring,expansion,320,HIGH,99,1.01,4.05,gemstone
sapphire necklace and earring set,expansion,320,HIGH,100,0.76,3.36,gemstone
natural ruby earrings,expansion,320,HIGH,100,0.82,4.04,gemstone
emerald moissanite ring,expansion,320,HIGH,100,0.76,2.31,gemstone
