keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
amber jewelry,amber_core,8100,HIGH,100,0.28,2.03,amber_general
amber jewellery,amber_core,8100,HIGH,100,0.28,2.03,amber_types
aquamarine necklace,expansion,8100,HIGH,100,0.89,4.38,gemstone
morganite ring,expansion,8100,HIGH,100,0.47,2.22,gemstone
pink sapphire ring,expansion,8100,HIGH,100,0.62,2.24,gemstone
garnet necklace,expansion,8100,HIGH,100,0.79,3.61,gemstone
citrine ring,expansion,8100,HIGH,100,0.5,2.1,gemstone
emerald ring gold,expansion,8100,HIGH,100,0.78,3.31,gemstone
tiger eye bracelet,expansion,8100,HIGH,100,0.35,1.62,gemstone
emerald and gold ring,expansion,8100,HIGH,100,0.78,3.31,gemstone
tourmaline jewellery,expansion,8100,HIGH,100,0.46,2.75,gemstone
smoky quartz jewellery,expansion,8100,HIGH,80,0.34,1.2,gemstone
bloodstone jewellery,expansion,8100,HIGH,97,0.38,1.62,gemstone
peridot birthstone jewelry,expansion,8100,HIGH,94,0.92,5.25,birthstone
peridot birthstone bracelet,expansion,8100,HIGH,94,0.92,5.25,birthstone
citrine jewelry ring,expansion,8100,HIGH,100,0.5,2.1,warm_stones
eye tiger bracelet,expansion,8100,HIGH,100,0.35,1.62,warm_stones
baltic amber jewelry,amber_core,6600,HIGH,75,0.29,1.11,amber_general
natural amber jewelry,amber_core,6600,HIGH,75,0.29,1.11,amber_general
aquamarine engagement ring,expansion,6600,HIGH,100,0.9,4.19,gemstone
green sapphire engagement ring,expansion,6600,HIGH,100,0.95,3.64,gemstone
black opal ring,expansion,6600,HIGH,100,0.38,1.83,gemstone
star sapphire ring,expansion,6600,HIGH,100,0.33,1.62,gemstone
moon stone necklace,expansion,6600,HIGH,100,0.56,2.25,gemstone
garnet birthstone jewelry,expansion,6600,LOW,10,0.65,3.4,gemstone
fire opal jewellery,expansion,6600,HIGH,97,0.45,2.09,gemstone
spinel jewellery,expansion,6600,HIGH,100,0.43,1.86,gemstone
dark opal ring,expansion,6600,HIGH,100,0.38,1.83,gemstone
jade stone pendant,expansion,6600,HIGH,100,0.37,1.42,gemstone
light blue stone in jewelry,expansion,6600,HIGH,100,0.34,1.73,gemstone
tiger eye stone jewelry,expansion,6600,HIGH,99,0.23,0.76,warm_stones
amber with fossil,amber_core,5400,HIGH,72,0.17,0.68,amber_general
baltic amber,amber_core,5400,HIGH,95,0.37,2.49,amber_colors
emerald bracelet,expansion,5400,HIGH,100,1.04,4.52,gemstone
amethyst bracelet,expansion,5400,HIGH,100,0.51,1.91,gemstone
amethyst engagement ring,expansion,5400,HIGH,100,1.01,3.97,gemstone
topaz ring,expansion,5400,HIGH,100,0.53,2.48,gemstone
custom birthstone necklace,expansion,5400,HIGH,100,1.39,6.63,gemstone
gemstone necklace,expansion,5400,HIGH,100,0.68,2.49,gemstone
personalized birthstone necklace,expansion,5400,HIGH,100,1.39,6.63,gemstone
three stone ring,expansion,5400,HIGH,100,1.22,3.93,gemstone
october birthstone jewelry,expansion,5400,HIGH,100,0.62,2.53,gemstone
