keyword,us_volume,competition,comp_index
aquamarine gemstone,14800,HIGH,92
citrine birthstone,14800,HIGH,100
silver cross chain men,14800,HIGH,100
gem jewelers,14800,HIGH,100
mens silver cross pendant,14800,HIGH,100
labradorite jewellery,14800,HIGH,100
necklace silver womens,14800,HIGH,100
sterling silver cross chain,14800,HIGH,100
black tourmaline jewellery,14800,HIGH,100
ring silver men,14800,HIGH,100
gems jewels,14800,HIGH,100
birthstone jewelry,14800,HIGH,100
swarovski rings,14800,HIGH,100
birthstones for every month,14800,HIGH,100
birthstones of each month,14800,HIGH,100
birthstones for all months,14800,HIGH,100
silver male rings,14800,HIGH,100
birthstones per month,14800,HIGH,100
gemstones for each month,14800,HIGH,100
red jasper jewellery,14800,HIGH,88
gents silver ring,14800,HIGH,100
moonstone ring,14800,HIGH,100
turquoise ring,14800,HIGH,100
moonlight stone ring,14800,HIGH,100
moonstone gem ring,14800,HIGH,100
moonstone gemstone ring,14800,HIGH,100
moonstone stone ring,14800,HIGH,100
sapphire necklace,12100,HIGH,100
opal engagement ring,12100,HIGH,100
birthstone necklace for mom,12100,HIGH,100
silver bracelet for women,12100,HIGH,100
amethyst necklace,12100,HIGH,100
tanzanite rings,12100,HIGH,100
birthstone rings for mom,12100,HIGH,100
blue sapphire engagement rings,12100,HIGH,100
stackable birthstone rings,12100,HIGH,100
mothers birthstone ring,12100,HIGH,100
mothers birthstone necklace,12100,HIGH,100
turquoise stone,12100,HIGH,100
sapphire birthstone,12100,HIGH,68
ladies silver bracelets,12100,HIGH,100
stacking birthstone rings,12100,HIGH,100
alexandrite jewellery,12100,HIGH,100
aquamarine birthstone jewelry,12100,MEDIUM,53
male silver bracelet,12100,HIGH,100
black opal jewellery,12100,HIGH,100
citrine gemstones,12100,HIGH,100
sapphire stone birthstone,12100,HIGH,68
pink sapphire,12100,HIGH,100
birthstone stacking rings,12100,HIGH,100
sterling silver claddagh ring,12100,LOW,18
amethyst necklaces,12100,HIGH,100
birthstone pendant for mom,12100,HIGH,100
aquamarine birthstone bracelet,12100,MEDIUM,53
birthstone necklace for mum,12100,HIGH,100
stackable birthstone bands,12100,HIGH,100
colors of garnet,12100,LOW,12
small earring hoop,12100,HIGH,100
turquoise necklace,12100,HIGH,100
blue sapphire ring,9900,HIGH,100
silver rings for women,9900,HIGH,100
morganite engagement ring,9900,HIGH,100
sterling silver hoop earrings,9900,HIGH,100
blue topaz ring,9900,HIGH,100
alexandrite engagement ring,9900,HIGH,100
gemstone rings,9900,HIGH,100
sapphire and diamond ring,9900,HIGH,100
black onyx ring,9900,HIGH,100
emerald wedding rings,9900,HIGH,100
emerald wedding band,9900,HIGH,100
tiffany bracelet silver,9900,HIGH,100
sapphire diamond ring,9900,HIGH,100
mens sterling silver chain,9900,HIGH,100
emerald ring with diamonds,9900,HIGH,100
mens sterling silver bracelets,9900,HIGH,100
mens sterling silver rings,9900,HIGH,100
diamond and emerald ring,9900,HIGH,100
